id,word,instrustion,source,category
77,make,Begin with the pinkie side of your dominant hand on the thumb side of your dominant hand with both palms oriented toward yourself. Bend your wrists forward a couple of times while keeping your hands together.,https://d2drp7fo8uq4gv.cloudfront.net/25655b80-e6fc-402a-956d-ef5942aa14bc.mp4,activity
78,get,"Begin with both hands away from you in a ""5"" handshape, with your dominant hand on top of your non-dominant hand. Then bring both hands towards yourself, while changing your hands into an ""S"" handshape.",https://d2drp7fo8uq4gv.cloudfront.net/aec8b1f8-bf3a-416d-8e51-df9a187f6213.mp4,activity
79,take,"Place your hand in front of you in a ""5"" handshape, then move it back toward yourself, while changing it to a ""S"" handshape.",https://d2drp7fo8uq4gv.cloudfront.net/ace9837c-8b32-45b8-be9b-b4041d64d79b.mp4,activity
80,bring,Begin with both hands in front of you with your palms oriented upwards and your hands starting closer to the arm of your dominant hand. Then move your hands away from yourself.,https://d2drp7fo8uq4gv.cloudfront.net/5aa85d20-8ca3-4635-ba74-6e74d98e6482.mp4,activity
81,clean,"With both hands oriented towards each other, slide your dominant hand across the palm of your non-dominant hand a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/63c7467f-3668-47a4-87d4-70f53d68f275.mp4,activity
82,help,Place your non-dominant hand in front of you with your palm orientation facing up. Your dominant hand should begin slightly above your non-dominant hand with your thumb facing up. The movement of this sign is done by tapping your dominant hand on your non-dominant hand 2 times.,https://d2drp7fo8uq4gv.cloudfront.net/e6bc052f-7bc5-4a71-aaa7-a094954c0896.mp4,activity
83,support,Place both hands in front of you with your dominant hand underneath your non-dominant hand. Tap the top of your dominant hand against the bottom of your non-dominant hand,https://d2drp7fo8uq4gv.cloudfront.net/4611cd76-297f-4e98-80f3-731e11c033c5.mp4,activity
84,write,"Place your dominant hand down on the palm of your non-dominant hand and drag your fingers across your palm a couple of times, mimicking a writing motion.",https://d2drp7fo8uq4gv.cloudfront.net/ac317406-225a-4139-adeb-2ca9600d5f70.mp4,activity
85,read,"Point the index and middle fingers of your dominant hand at the palm of your non-dominant hand. Then, move the index and middle fingers of your dominant hand up and down while staying pointed at the palm side of your non-dominant hand. This side mimics eyes reading a page from a book.",https://d2drp7fo8uq4gv.cloudfront.net/79307323-4baa-427a-9c21-2890664b3ba7.mp4,activity
86,say,"With your hand underneath your chin and your palm oriented toward yourself, tap the fingertip of your index finger on your chin a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/89f8e37a-5aad-4416-8c89-c445294b9878.mp4,activity
87,tell,Begin with your index finger below your mouth and your palm oriented towards yourself. Then bring your hand forward until your index finger is pointing away from yourself.,https://d2drp7fo8uq4gv.cloudfront.net/5549d067-67b8-44d9-9080-be2ddd06c708.mp4,activity
88,talk,"Begin with both hands in a ""1"" handshape near, but slightly below your face. Alternate moving your index fingers from both hands away and towards yourself a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/0f7acdb9-8ef7-4a94-afb9-0ff2f570b1bf.mp4,activity
89,ask,"Begin with both palms against each other with all your fingers except for your thumbs facing forwards. Then, rotate your hands up until those fingers are facing upwards.",https://d2drp7fo8uq4gv.cloudfront.net/5590f7aa-80c4-4092-bb7b-39ca8a1c1d2b.mp4,activity
90,answer,"Begin with both hands in a ""1"" handshape. The index finger of your dominant hand should be touching your chin. Both hands should begin with your palms oriented away from yourself and your wrists bent back. Then you should bend both wrist forwards until your palms are oriented downwards.",https://d2drp7fo8uq4gv.cloudfront.net/88e4b23a-0e39-475f-b06e-b8a94cf638c3.mp4,activity
91,watch,"Begin with both hands next to each other in front of you with your palms oriented down and your index and middle fingers pointing forward. Then, slightly move your hands forward a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/51430c23-3dc5-4ca1-ad70-642201d9b87d.mp4,activity
92,see,"Begin with your palm oriented toward yourself and the fingertips of your index and middle fingers in front of your eyes. Then, move your hand away from yourself.",https://d2drp7fo8uq4gv.cloudfront.net/6b4c5c62-0ff3-4403-b587-e5c1d114b1f2.mp4,activity
93,look,"With your hands oriented toward each other, move them both in a staggered, circular motion that move from above your shoulders to in front of your face a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/8166911d-2b5f-4355-919e-c2def695af4d.mp4,activity
94,watch,"Begin with both hands next to each other in front of you with your palms oriented down and your index and middle fingers pointing forward. Then, slightly move your hands forward a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/51430c23-3dc5-4ca1-ad70-642201d9b87d.mp4,activity
95,hear,"Begin with your hand next to the side of your head with your thumb pointing toward your ear. Then, move your thumb toward your ear while curling your index and middle fingers in.",https://d2drp7fo8uq4gv.cloudfront.net/e3342604-850b-4b3c-94d4-25bfb4d7843a.mp4,activity
96,try,"Begin with both hands next to each other in front of you with your palms oriented toward yourself. Then, move your hands forward while rotating your wrist forward until your palms are oriented away from yourself.",https://d2drp7fo8uq4gv.cloudfront.net/2d55d247-6561-4225-8ec5-492b907469ad.mp4,activity
97,have,"Begin with the fingertips of both hands in front of each shoulder. Then, move both your hands toward yourself until they touch your chest.",https://d2drp7fo8uq4gv.cloudfront.net/190d749b-7820-4693-88cb-9394dd62868c.mp4,activity
98,give,"Begin with both hands next to each other in front of you with your palms oriented toward yourself. Your hands should be pointing up when you begin, then you should bend your hands down until your hands are pointing away from yourself.",https://d2drp7fo8uq4gv.cloudfront.net/9e8fc657-47cc-47c1-b20c-0ebec53efa1e.mp4,activity
99,keep,"Press the pinkie side of your dominant hand against the thumb side of your non-dominant hand, beginning with your dominant hand above your non-dominant hand",https://d2drp7fo8uq4gv.cloudfront.net/0a33a90b-ba69-4ca4-91ca-8df3eecadb32.mp4,activity
100,open,"Begin with both hands next to each other in front of you with your fingers pointing away from you and your hands in a horizontal position. Rotate your wrists up and move your hands away from each other, ending with your palms oriented toward each other.",https://d2drp7fo8uq4gv.cloudfront.net/0415d43b-bb5b-4066-9eed-c367255ad3ee.mp4,activity
101,close,Begin with both hands in front of you with your non-dominant hand farther away from you and your dominant hand near your body. Then bring your index fingers of your dominant hand up to the back of the index fingers of your non-dominant hand.,https://d2drp7fo8uq4gv.cloudfront.net/51e1361e-e833-4ff5-9da1-c659cbde596d.mp4,activity
102,happy,Begin with your hand in front of your chest with your palm oriented toward yourself and your fingers horizontal. Move your hand up and toward yourself a couple of times.,https://d2drp7fo8uq4gv.cloudfront.net/635d6537-9bd8-42f2-86b0-5ab1fc1c9b79.mp4,feeling
103,sad,"Begin with both hands in front of your face with your palms oriented toward yourself and your dominant hand in a slightly higher position. Then, move both hands down past your face.",https://d2drp7fo8uq4gv.cloudfront.net/e0b5522f-7d5e-40f2-9418-cf7103ab6dbf.mp4,feeling
104,fine,"Begin with your hand in a ""5"" handshape with the thumb of your hand touching your chest. Then move your hand away from yourself while slightly rotating your wrist.",https://d2drp7fo8uq4gv.cloudfront.net/976d60f9-67ff-48a9-b02d-32febad23a8e.mp4,feeling
105,good,"Begin with both hands in an ""F"" handshape close to your body. Then move your hands slightly away from yourself.",https://d2drp7fo8uq4gv.cloudfront.net/1cdf8108-9aa8-4f8f-86b2-928f25144857.mp4,feeling
106,bad,Begin with your dominant hand facing towards yourself and your fingers touching your mouth. Bring your dominant hand down to your non-dominant hand while rotating your wrist so that the sign ends with both hands facing towards each other with your hands together.,https://d2drp7fo8uq4gv.cloudfront.net/c6eefba4-285d-435d-a067-65c87158e2af.mp4,feeling
107,big,"Begin with both hands next to each other in front of you and with your palms oriented toward each other. Then, move your hands away from each other, rotating your wrists back as you move so the your palms are oriented away from yourself at the end of the sign.",https://d2drp7fo8uq4gv.cloudfront.net/6f645b0a-c7af-4c24-bd55-12d22dc5c325.mp4,attribute
108,small,Begin with both hands next to each other in front of you with your palms oriented toward each other. Slightly move your hands toward each other a couple of times.,https://d2drp7fo8uq4gv.cloudfront.net/3dc993c1-f75c-4952-914b-102bc871ce18.mp4,attribute
109,hot,"Begin with your hand next to your face with your fingertips touching your cheek. Then, rotate your wrist while moving your hand away from your face.",https://d2drp7fo8uq4gv.cloudfront.net/5b108331-9c84-4f71-b6ea-e1e7110c60c1.mp4,attribute
110,cold,"Place your hand in front of your face with your thumb and index fingers near your nose. Move your hand down a couple of times, bringing your thumb and index fingers together as you move your hand down. This sign mimics a person wiping their nose because of having a cold.",https://d2drp7fo8uq4gv.cloudfront.net/de0ee298-6c92-4ac9-b001-21fa5ee8a7e4.mp4,attribute
111,warm,"Begin with your hand in front of your mouth with your fingertips pointing at your mouth. Then, move your hand away from your mouth while opening up your handshape into a ""5"" handshape.",https://d2drp7fo8uq4gv.cloudfront.net/5f4ccf49-f148-419e-9dfe-e8fffd4a3958.mp4,attribute
112,fast,"Begin with both hands in front of you, next to each other, with your thumbs pointing up. Then, move both hands toward yourself, while changing your handshapes to ""A"" handshapes.",https://d2drp7fo8uq4gv.cloudfront.net/aacb8b44-dc22-4e7d-8e6d-5e904356e946.mp4,attribute
113,slow,"Begin with the fingertips of your dominant hand on top of the fingertips of your non-dominant hand. Both palms should be oriented down and your fingers should be pointing away from you. Then, slide the fingertips of your dominant hand across the back of your non-dominant hand to your wrist.",https://d2drp7fo8uq4gv.cloudfront.net/881b80b6-c82e-49c4-87b2-f9a69316f0e3.mp4,attribute
114,hard,"Begin with your dominant hand above the back of your non-dominant hand. Then, bring your dominant hand down until the pinkie side of your dominant hand makes contact with the back of your non-dominant hand.",https://d2drp7fo8uq4gv.cloudfront.net/53cc9b90-521a-4a39-84cf-b3f7881a868b.mp4,attribute
115,easy,"Begin with your dominant hand slightly in front of your non-dominant hand. Move your dominant hand back 2 times, with the fingertips of your dominant hand making contact with the fingertips of your non-dominant hand.",https://d2drp7fo8uq4gv.cloudfront.net/556ade6e-5081-4332-8284-ae0e4c4cd3f9.mp4,attribute
116,old,"Begin with the index finger side of your hand against your chin and then move your hand down, slightly moving your hand from side to side as your hand moves down.",https://d2drp7fo8uq4gv.cloudfront.net/2d6e93f8-ef50-414a-b68c-f8470f5ce8d5.mp4,attribute
117,red,"Begin with your hand below your chin with the tip of your index finger touching your chin and your hand oriented toward yourself. Then, move your hand down while curling in your index finger.",https://d2drp7fo8uq4gv.cloudfront.net/7691f52c-d373-4e5b-8c47-034bf01e8bb1.mp4,color
